,id,gameTurn,player,value
0,0,PREFLOP,5c253e3,1.0
25,25,PREFLOP,5c253e3,6.0
30,30,PREFLOP,5c253e3,1.0
70,70,PREFLOP,5c253e3,7.0
11299,25,TURN,5c253e3,12.0
15057,25,RIVER,5c253e3,22.0
18790,0,PREFLOP,Hero,62.0
18792,2,PREFLOP,Hero,5.0
18794,4,PREFLOP,Hero,2.0
18795,5,PREFLOP,Hero,6.0
18796,6,PREFLOP,Hero,2.0
18797,7,PREFLOP,Hero,2.0
18798,8,PREFLOP,Hero,1.0
18804,14,PREFLOP,Hero,1.0
18805,15,PREFLOP,Hero,7.0
18807,17,PREFLOP,Hero,4.0
18810,20,PREFLOP,Hero,6.0
18812,22,PREFLOP,Hero,1.0
18813,23,PREFLOP,Hero,9.0
18817,27,PREFLOP,Hero,1.0
18818,28,PREFLOP,Hero,2.0
18821,31,PREFLOP,Hero,6.0
18823,33,PREFLOP,Hero,2.0
18824,34,PREFLOP,Hero,7.0
18827,37,PREFLOP,Hero,15.0
18828,38,PREFLOP,Hero,6.0
18829,39,PREFLOP,Hero,1.0
18830,40,PREFLOP,Hero,1.0
18835,45,PREFLOP,Hero,1.0
18836,46,PREFLOP,Hero,2.0
18837,47,PREFLOP,Hero,2.0
18838,48,PREFLOP,Hero,20.0
18840,50,PREFLOP,Hero,2.0
18842,52,PREFLOP,Hero,2.0
18847,57,PREFLOP,Hero,1.0
18848,58,PREFLOP,Hero,2.0
18849,59,PREFLOP,Hero,4.0
18853,63,PREFLOP,Hero,2.0
18854,64,PREFLOP,Hero,1.0
18855,65,PREFLOP,Hero,2.0
18856,66,PREFLOP,Hero,6.0
18860,70,PREFLOP,Hero,1.0
18861,71,PREFLOP,Hero,1.0
18867,77,PREFLOP,Hero,2.0
18868,78,PREFLOP,Hero,1.0
18871,81,PREFLOP,Hero,6.0
18872,82,PREFLOP,Hero,7.0
18873,83,PREFLOP,Hero,2.0
18877,87,PREFLOP,Hero,6.0
18879,89,PREFLOP,Hero,2.0
18880,90,PREFLOP,Hero,1.0
18881,91,PREFLOP,Hero,4.0
18882,92,PREFLOP,Hero,4.0
18887,97,PREFLOP,Hero,7.0
18888,98,PREFLOP,Hero,1.0
18891,101,PREFLOP,Hero,1.0
18893,103,PREFLOP,Hero,2.0
18897,107,PREFLOP,Hero,4.0
18899,109,PREFLOP,Hero,1.0
18900,110,PREFLOP,Hero,2.0
18901,111,PREFLOP,Hero,6.0
18902,112,PREFLOP,Hero,2.0
18903,113,PREFLOP,Hero,2.0
18905,115,PREFLOP,Hero,1.0
18906,116,PREFLOP,Hero,1.0
18907,117,PREFLOP,Hero,4.0
18911,121,PREFLOP,Hero,1.0
18912,122,PREFLOP,Hero,9.0
18914,124,PREFLOP,Hero,4.0
18918,128,PREFLOP,Hero,1.0
18919,129,PREFLOP,Hero,2.0
18922,132,PREFLOP,Hero,1.0
18923,133,PREFLOP,Hero,4.0
18927,137,PREFLOP,Hero,1.0
18928,138,PREFLOP,Hero,2.0
18934,144,PREFLOP,Hero,2.0
18935,145,PREFLOP,Hero,1.0
18936,146,PREFLOP,Hero,1.0
18940,150,PREFLOP,Hero,2.0
18942,152,PREFLOP,Hero,2.0
18943,153,PREFLOP,Hero,1.0
18948,158,PREFLOP,Hero,1.0
18949,159,PREFLOP,Hero,1.0
18953,163,PREFLOP,Hero,1.0
18954,164,PREFLOP,Hero,2.0
18960,170,PREFLOP,Hero,1.0
18961,171,PREFLOP,Hero,7.0
18966,176,PREFLOP,Hero,2.0
18967,177,PREFLOP,Hero,1.0
18972,182,PREFLOP,Hero,1.0
18973,183,PREFLOP,Hero,1.0
18977,187,PREFLOP,Hero,4.0
18978,188,PREFLOP,Hero,1.0
18979,189,PREFLOP,Hero,7.0
18980,190,PREFLOP,Hero,1.0
18981,191,PREFLOP,Hero,7.0
18982,192,PREFLOP,Hero,1.0
18984,194,PREFLOP,Hero,2.0
18985,195,PREFLOP,Hero,4.0
18987,197,PREFLOP,Hero,1.0
18990,200,PREFLOP,Hero,1.0
18991,201,PREFLOP,Hero,2.0
18992,202,PREFLOP,Hero,7.0
18996,206,PREFLOP,Hero,2.0
19003,213,PREFLOP,Hero,4.0
19004,214,PREFLOP,Hero,2.0
19009,219,PREFLOP,Hero,6.0
19010,220,PREFLOP,Hero,1.0
19014,224,PREFLOP,Hero,6.0
19015,225,PREFLOP,Hero,2.0
19017,227,PREFLOP,Hero,1.0
19021,231,PREFLOP,Hero,2.0
19022,232,PREFLOP,Hero,2.0
19024,234,PREFLOP,Hero,1.0
19028,238,PREFLOP,Hero,2.0
19030,240,PREFLOP,Hero,1.0
19034,244,PREFLOP,Hero,1.0
19036,246,PREFLOP,Hero,2.0
19039,249,PREFLOP,Hero,7.0
19040,250,PREFLOP,Hero,1.0
19041,251,PREFLOP,Hero,2.0
19044,254,PREFLOP,Hero,7.0
19049,259,PREFLOP,Hero,1.0
19052,262,PREFLOP,Hero,1.0
19054,264,PREFLOP,Hero,1.0
19059,269,PREFLOP,Hero,1.0
19060,270,PREFLOP,Hero,1.0
19063,273,PREFLOP,Hero,1.0
19065,275,PREFLOP,Hero,2.0
19071,281,PREFLOP,Hero,1.0
19072,282,PREFLOP,Hero,2.0
19077,287,PREFLOP,Hero,1.0
19078,288,PREFLOP,Hero,4.0
19083,293,PREFLOP,Hero,1.0
19084,294,PREFLOP,Hero,2.0
19089,299,PREFLOP,Hero,4.0
19090,300,PREFLOP,Hero,2.0
19092,302,PREFLOP,Hero,4.0
19095,305,PREFLOP,Hero,7.0
19096,306,PREFLOP,Hero,5.0
19097,307,PREFLOP,Hero,2.0
19098,308,PREFLOP,Hero,6.0
19099,309,PREFLOP,Hero,2.0
19100,310,PREFLOP,Hero,11.0
19103,313,PREFLOP,Hero,1.0
19104,314,PREFLOP,Hero,2.0
19110,320,PREFLOP,Hero,1.0
19111,321,PREFLOP,Hero,2.0
19114,324,PREFLOP,Hero,6.0
19116,326,PREFLOP,Hero,4.0
19117,327,PREFLOP,Hero,2.0
19118,328,PREFLOP,Hero,1.0
19120,330,PREFLOP,Hero,1.0
19121,331,PREFLOP,Hero,6.0
19128,338,PREFLOP,Hero,7.0
19129,339,PREFLOP,Hero,1.0
19133,343,PREFLOP,Hero,2.0
19135,345,PREFLOP,Hero,1.0
19141,351,PREFLOP,Hero,6.0
19143,353,PREFLOP,Hero,1.0
19146,356,PREFLOP,Hero,19.0
19147,357,PREFLOP,Hero,1.0
19148,358,PREFLOP,Hero,2.0
19152,362,PREFLOP,Hero,1.0
19153,363,PREFLOP,Hero,2.0
19155,365,PREFLOP,Hero,4.0
19157,367,PREFLOP,Hero,6.0
19159,369,PREFLOP,Hero,7.0
19160,370,PREFLOP,Hero,1.0
19165,375,PREFLOP,Hero,1.0
19166,376,PREFLOP,Hero,2.0
19167,377,PREFLOP,Hero,6.0
19171,381,PREFLOP,Hero,2.0
19172,382,PREFLOP,Hero,2.0
19176,386,PREFLOP,Hero,2.0
19178,388,PREFLOP,Hero,1.0
19181,391,PREFLOP,Hero,6.0
19182,392,PREFLOP,Hero,6.0
19183,393,PREFLOP,Hero,1.0
19184,394,PREFLOP,Hero,2.0
19189,399,PREFLOP,Hero,2.0
19190,400,PREFLOP,Hero,1.0
19191,401,PREFLOP,Hero,2.0
19192,402,PREFLOP,Hero,42.0
19196,406,PREFLOP,Hero,2.0
19197,407,PREFLOP,Hero,7.0
19198,408,PREFLOP,Hero,2.0
19201,411,PREFLOP,Hero,4.0
19203,413,PREFLOP,Hero,1.0
19204,414,PREFLOP,Hero,2.0
19205,415,PREFLOP,Hero,7.0
19210,420,PREFLOP,Hero,2.0
19211,421,PREFLOP,Hero,1.0
19215,425,PREFLOP,Hero,5.0
19216,426,PREFLOP,Hero,1.0
19217,427,PREFLOP,Hero,1.0
19218,428,PREFLOP,Hero,7.0
19221,431,PREFLOP,Hero,2.0
19222,432,PREFLOP,Hero,1.0
19227,437,PREFLOP,Hero,1.0
19228,438,PREFLOP,Hero,2.0
19229,439,PREFLOP,Hero,4.0
19233,443,PREFLOP,Hero,1.0
19234,444,PREFLOP,Hero,2.0
19235,445,PREFLOP,Hero,7.0
19238,448,PREFLOP,Hero,2.0
19239,449,PREFLOP,Hero,1.0
19240,450,PREFLOP,Hero,2.0
19242,452,PREFLOP,Hero,4.0
19246,456,PREFLOP,Hero,1.0
19247,457,PREFLOP,Hero,6.0
19248,458,PREFLOP,Hero,6.0
19249,459,PREFLOP,Hero,6.0
19251,461,PREFLOP,Hero,4.0
19252,462,PREFLOP,Hero,1.0
19253,463,PREFLOP,Hero,35.0
19254,464,PREFLOP,Hero,6.0
19258,468,PREFLOP,Hero,5.0
19261,471,PREFLOP,Hero,1.0
19263,473,PREFLOP,Hero,2.0
19265,475,PREFLOP,Hero,1.0
19266,476,PREFLOP,Hero,6.0
19267,477,PREFLOP,Hero,2.0
19274,484,PREFLOP,Hero,7.0
19275,485,PREFLOP,Hero,2.0
19279,489,PREFLOP,Hero,2.0
19280,490,PREFLOP,Hero,1.0
19284,494,PREFLOP,Hero,2.0
19286,496,PREFLOP,Hero,1.0
19292,502,PREFLOP,Hero,2.0
19294,504,PREFLOP,Hero,7.0
19297,507,PREFLOP,Hero,2.0
19299,509,PREFLOP,Hero,2.0
19300,510,PREFLOP,Hero,1.0
