,first,second,third
0,"['4c', '9c', 'Jc', '3c', '2d']",[],[]
1,"['3h', 'Ks', 'Qc', '4h', '9s']",[],[]
2,"['Ts', '7h', '7d', 'Jc', '3h']",[],[]
3,[],[],[]
4,[],[],[]
5,"['5c', '5h', '6d']",[],[]
6,[],[],[]
7,"['Jc', '8s', 'As', '4h', '2c']",[],[]
8,"['9s', '3s', '2h']",[],[]
9,"['4h', '3d', '5s', '5d', 'Qs']",[],[]
10,[],[],[]
11,"['8s', 'Jh', '8d']",[],[]
12,"['Ks', 'Kd', '3d', '4s', 'Qh']",[],[]
13,[],[],[]
14,"['7d', '3c', '6d']",[],[]
15,"['Ah', '6s', '4s', '3h', '8d']",[],[]
16,"['Kc', '5d', 'Js', 'Qd', '8s']",[],[]
17,"['Qh', '8c', '5d', '7s', 'Ts']",[],[]
18,"['6d', '3c', '9s', 'Qd']",[],[]
19,"['As', '9h', 'Kh', '3c', '7s']",[],[]
20,"['4s', 'Ts', '8c', '7c', '8d']",[],[]
21,[],[],[]
22,"['9s', '6h', '5d', '6c', 'Ah']",[],[]
23,"['Jd', '7s', 'Js']",[],[]
24,"['Kc', '2h', 'Ac']",[],[]
25,"['8h', '9c', 'As', '2s', '4s']",[],[]
26,[],[],[]
27,[],[],[]
28,"['6d', '6s', '7c', 'Ac', 'Td']",[],[]
29,"['5c', '2d', '6c']",[],[]
30,[],[],[]
31,"['Qc', '6d', '7h', 'Jh', '5s']",[],[]
32,"['Ah', '8d', '2h', '5d', 'Tc']",[],[]
33,[],[],[]
34,"['Ad', 'Js', 'Jc', '4c']",[],[]
35,"['Ks', '2h', 'Kh']",[],[]
36,"['Js', 'As', '2h']",[],[]
37,"['8d', '3s', 'Ac', '7c', '2d']",[],[]
38,"['7c', '3h', '4s', '2h', '6h']",[],[]
39,[],[],[]
40,[],[],[]
41,[],[],[]
42,"['2c', 'Ah', '2d']",[],[]
43,"['6h', 'Td', 'Kh']",[],[]
44,"['6s', '2s', '8d', 'Th', 'Ah']",[],[]
45,[],[],[]
46,"['Kd', 'Qc', 'Ts', 'As', 'Kh']",[],[]
47,[],[],[]
48,"['9c', '9d', '7s']",[],[]
49,[],[],[]
50,[],[],[]
51,[],[],[]
52,"['9d', 'Qd', '7d', 'Ad', 'Qc']",[],[]
53,"['Kc', '7s', '9c', '5c']",[],[]
54,"['3d', 'Th', 'Qc']",[],[]
55,"['4c', '4d', '3s']",[],[]
56,"['6s', 'Jc', '2d']",[],[]
57,[],[],[]
58,"['7c', '9h', '9s', '2d']",[],[]
59,"['4d', 'Js', '6h', 'Qh', '9d']",[],[]
60,"['Td', '3d', '9s', '3h', '8c']",[],[]
61,"['2c', '2h', 'Ts']",[],[]
62,"['3d', 'Qd', 'Kh']",[],[]
63,[],[],[]
64,"['2c', 'Kd', '7h']",[],[]
65,[],[],[]
66,"['7c', '9s', 'Ks', '5h', 'As']",[],[]
67,"['Qh', '2h', 'Ad', 'Js', '5c']",[],[]
68,[],[],[]
69,[],[],[]
70,"['Js', '9s', 'Kc', 'Qd']",[],[]
71,[],[],[]
72,"['9s', '5c', '3c', '5d']",[],[]
73,"['Kd', 'Qh', 'Ad', '5s', '9s']",[],[]
74,"['5h', '4d', '9h', '9c', 'Qc']",[],[]
75,[],[],[]
76,[],[],[]
77,"['3h', 'Js', '6d', 'Kh']",[],[]
78,[],[],[]
79,[],[],[]
80,"['As', 'Qs', '3d', '8s']",[],[]
81,"['5c', '4c', 'Qh', '8h', 'Js']",[],[]
82,"['Td', 'Kh', '4c', '6c', 'Qh']",[],[]
83,[],[],[]
84,[],[],[]
85,[],[],[]
86,[],[],[]
87,"['3c', '5d', 'As', 'Ah', '5s']",[],[]
88,[],[],[]
89,"['7h', 'As', '2d', '3h']",[],[]
90,[],[],[]
91,"['4s', '8h', '3d', 'Ts', '3s']",[],[]
92,"['Js', 'Ac', '6d', '9s', '4s']",[],[]
93,"['4h', 'Jd', '7c', '9c', 'Td']",[],[]
94,[],[],[]
95,[],[],[]
96,"['Td', 'Jh', '7c']",[],[]
97,"['9d', '3h', '7s', '9h', 'Kd']",[],[]
98,"['Tc', 'Jd', 'As']",[],[]
99,"['5d', 'Qh', '8h']",[],[]
100,[],[],[]
101,"['Ks', '9c', '2c', '4d', '2h']",[],[]
102,[],[],[]
103,"['8s', '9h', 'Qc']",[],[]
104,[],[],[]
105,[],[],[]
106,"['2s', '9h', 'Ac', '3h', '3c']",[],[]
107,"['Ah', '7c', 'Qc']",[],[]
108,[],[],[]
109,"['3c', '7d', '7s', '6c', '5s']",[],[]
110,[],[],[]
111,"['6d', '5s', 'Ad', '5c', 'Qs']",[],[]
112,[],[],[]
113,[],[],[]
114,[],[],[]
115,[],[],[]
116,"['5d', '4c', '5h', '2h', 'Jc']",[],[]
117,"['Ts', '9h', '3s', 'Tc', '5h']",[],[]
118,[],[],[]
119,"['2s', 'Qs', '7c', '8s', 'Ac']",[],[]
120,[],[],[]
121,"['4s', '3d', 'Ah']",[],[]
122,"['Ts', '6h', '4c']",[],[]
123,[],[],[]
124,"['Qc', '3s', '7c', 'Ah', 'Qd']",[],[]
125,[],[],[]
126,"['9c', 'Qh', '8c', 'Ks', '4h']",[],[]
127,[],[],[]
128,"['Jd', '5h', '5d']",[],[]
129,"['Ks', '5s', '4s', '9d']",[],[]
130,[],[],[]
131,"['4h', '5s', '6c', '9h', '8h']",[],[]
132,"['5c', 'Jh', '2c', 'Ac', 'Qc']",[],[]
133,"['Jd', 'Qh', '4s', '2c', 'Js']",[],[]
134,[],[],[]
135,[],[],[]
136,[],[],[]
137,[],[],[]
