,id,order,value
0,0,5c253e3,1.0
25,25,5c253e3,40.0
30,30,5c253e3,1.0
70,70,5c253e3,7.0
3758,0,Hero,103.0
3760,2,Hero,30.0
3762,4,Hero,2.0
3763,5,Hero,6.0
3764,6,Hero,2.0
3765,7,Hero,2.0
3766,8,Hero,1.0
3772,14,Hero,1.0
3773,15,Hero,122.0
3775,17,Hero,40.0
3778,20,Hero,13.0
3780,22,Hero,1.0
3781,23,Hero,9.0
3785,27,Hero,1.0
3786,28,Hero,2.0
3789,31,Hero,6.0
3791,33,Hero,2.0
3792,34,Hero,7.0
3795,37,Hero,58.0
3796,38,Hero,17.0
3797,39,Hero,1.0
3798,40,Hero,1.0
3803,45,Hero,1.0
3804,46,Hero,2.0
3805,47,Hero,2.0
3806,48,Hero,20.0
3808,50,Hero,2.0
3810,52,Hero,2.0
3815,57,Hero,1.0
3816,58,Hero,2.0
3817,59,Hero,15.0
3821,63,Hero,2.0
3822,64,Hero,1.0
3823,65,Hero,2.0
3824,66,Hero,102.0
3828,70,Hero,1.0
3829,71,Hero,1.0
3835,77,Hero,2.0
3836,78,Hero,1.0
3839,81,Hero,14.0
3840,82,Hero,41.0
3841,83,Hero,2.0
3845,87,Hero,37.0
3847,89,Hero,2.0
3848,90,Hero,1.0
3849,91,Hero,11.0
3850,92,Hero,164.0
3855,97,Hero,13.0
3856,98,Hero,1.0
3859,101,Hero,1.0
3861,103,Hero,2.0
3865,107,Hero,4.0
3867,109,Hero,1.0
3868,110,Hero,2.0
3869,111,Hero,24.0
3870,112,Hero,2.0
3871,113,Hero,2.0
3873,115,Hero,1.0
3874,116,Hero,1.0
3875,117,Hero,8.0
3879,121,Hero,1.0
3880,122,Hero,9.0
3882,124,Hero,4.0
3886,128,Hero,1.0
3887,129,Hero,2.0
3890,132,Hero,1.0
3891,133,Hero,4.0
3895,137,Hero,1.0
3896,138,Hero,2.0
3902,144,Hero,2.0
3903,145,Hero,1.0
3904,146,Hero,1.0
3908,150,Hero,2.0
3910,152,Hero,2.0
3911,153,Hero,1.0
3916,158,Hero,1.0
3917,159,Hero,1.0
3921,163,Hero,1.0
3922,164,Hero,2.0
3928,170,Hero,1.0
3929,171,Hero,7.0
3934,176,Hero,2.0
3935,177,Hero,1.0
3940,182,Hero,1.0
3941,183,Hero,1.0
3945,187,Hero,7.0
3946,188,Hero,1.0
3947,189,Hero,15.0
3948,190,Hero,1.0
3949,191,Hero,104.0
3950,192,Hero,1.0
3952,194,Hero,2.0
3953,195,Hero,24.0
3955,197,Hero,1.0
3958,200,Hero,1.0
3959,201,Hero,2.0
3960,202,Hero,7.0
3964,206,Hero,2.0
3971,213,Hero,4.0
3972,214,Hero,2.0
3977,219,Hero,6.0
3978,220,Hero,1.0
3982,224,Hero,96.0
3983,225,Hero,2.0
3985,227,Hero,1.0
3989,231,Hero,2.0
3990,232,Hero,2.0
3992,234,Hero,1.0
3996,238,Hero,2.0
3998,240,Hero,1.0
4002,244,Hero,1.0
4004,246,Hero,2.0
4007,249,Hero,13.0
4008,250,Hero,1.0
4009,251,Hero,2.0
4012,254,Hero,7.0
4017,259,Hero,1.0
4020,262,Hero,1.0
4022,264,Hero,1.0
4027,269,Hero,1.0
4028,270,Hero,1.0
4031,273,Hero,1.0
4033,275,Hero,2.0
4039,281,Hero,1.0
4040,282,Hero,2.0
4045,287,Hero,1.0
4046,288,Hero,30.0
4051,293,Hero,1.0
4052,294,Hero,2.0
4057,299,Hero,4.0
4058,300,Hero,2.0
4060,302,Hero,4.0
4063,305,Hero,13.0
4064,306,Hero,5.0
4065,307,Hero,2.0
4066,308,Hero,46.0
4067,309,Hero,2.0
4068,310,Hero,53.0
4071,313,Hero,1.0
4072,314,Hero,2.0
4078,320,Hero,1.0
4079,321,Hero,2.0
4082,324,Hero,33.0
4084,326,Hero,4.0
4085,327,Hero,2.0
4086,328,Hero,1.0
4088,330,Hero,1.0
4089,331,Hero,19.0
4096,338,Hero,15.0
4097,339,Hero,1.0
4101,343,Hero,2.0
4103,345,Hero,1.0
4109,351,Hero,14.0
4111,353,Hero,1.0
4114,356,Hero,53.0
